investor_uuid,investor_name,avg_likelihood
012c56a2-4bc2-04f6-1769-541e44f3b2e4,Add Health Media,0.16666666666666666
012cfb85-6dac-a5c8-703b-440678161b73,Wilmington Pharmatech,0.25
01300903-59e9-eb3d-4265-95655aee8ec8,Geoff Harris,0.0
0133a2f9-3f99-e283-11b8-97d57fe442d9,Cynthia Ringo,0.2
01351771-1ff6-d009-0602-ffa6fa64c41e,Mahou San Miguel,0.0
013560b7-5b6b-40bc-9008-d58db554463d,CircleUp Growth Partners,0.06249999999999999
013594be-9c6d-2e89-5f9a-c0dc0fb84b00,Franklin Raines,0.0
013684d7-ea56-a9cd-eaf0-c2b81caa7d2d,Jim Wicks,0.16666666666666666
01373abc-ccbd-673a-53b3-a1acfaa3ce80,Mark Surfas,0.0
0137d748-7c96-40dd-86bc-cfb1256784b7,FEFAM,0.0
0137dc19-cb97-20fa-3b58-f32bd692a4b9,Fernando Iervasi,0.0
01380c36-cbb6-407d-9ac8-2a4975f652b1,Foris Ventures,0.25
01391701-b396-4961-42c6-b1efa15901aa,MAKERS,0.15476190476190477
01394578-efdc-960a-2e5a-8e0e274868eb,Mantella Venture Partners,0.06485260770975057
0139cdfe-3991-c114-cbeb-dbd7507ac741,Christian Gaiser,0.125
013ac28d-3865-f22a-94d2-45403566ce97,Gordon Tucker,0.3333333333333333
013af3e0-172f-4910-c0c3-37ccbcb0fa38,Avin Bansal,0.1111111111111111
013b2519-0253-3af1-87e7-0f4532c2d17a,EXTOREL,0.33555555555555555
013c3f7f-6680-c232-7baa-e393ebb6e308,Ambrosia Software,0.3333333333333333
013cc0b5-d40b-d9f6-00e9-5719f5e1a6b8,Tom Singh,0.06547619047619048
013d9bb2-9ce7-0819-404d-a928350590f3,Volcano Capital,0.125
013f5bf4-05ae-4c22-b15a-c78d752ac399,Junhe Capital,0.3333333333333333
01405a61-2856-e72b-fc0c-3e7ffbe0eaa1,Kevin Compton,0.1
0140d192-b624-4ee8-876d-01f9ab6eaa56,Dave Goldblatt,0.2
0140fadf-adb3-8c8d-d986-d33d3e365727,Funplus,0.03571428571428571
01413ae9-b575-6101-8588-1ed6b0b3fc02,Adaptive Path,0.3333333333333333
01414c5f-36fc-d724-74cc-2f28a179c027,BTVLEP,0.0
